escenario;cliente;prod_cod;prod_nom;prod_n2;prod_n3;prod_prov;fec_cod;fec_anno;fec_mes;fec_dia;fec_dia_sem;can_n2;can_n3;geo_mun;geo_dep;valor;cantidad;cliente_top;cliente_top_canal;cliente_top_municipio;producto_top;producto_top_canal;producto_top_municipio
1;6255805;P-5856;Producto -5856;DETERGENTES;HOGAR;PR-033;20220916;2022;09;16;VIERNES;MAYORISTA;MAYORISTA;CALI;Valle del Cauca;56514380;26000;S;S;S;S;S;S
1;6255805;P-5825;Producto -5825;DETERGENTES;HOGAR;PR-033;20220916;2022;09;16;VIERNES;MAYORISTA;MAYORISTA;CALI;Valle del Cauca;56047160;13000;S;S;S;S;S;S
1;6255805;P-3391;Producto -3391;GALLETAS;ALIMENTOS;PR-201;20220923;2022;09;23;VIERNES;MAYORISTA;MAYORISTA;CALI;Valle del Cauca;30010464;1200;S;S;S;S;S;S
1;6255805;P-3357;Producto -3357;GALLETAS;ALIMENTOS;PR-201;20220930;2022;09;30;VIERNES;MAYORISTA;MAYORISTA;CALI;Valle del Cauca;80614867;13440;S;S;S;S;S;S
1;6255805;P-3357;Producto -3357;GALLETAS;ALIMENTOS;PR-201;20220913;2022;09;13;MARTES;MAYORISTA;MAYORISTA;CALI;Valle del Cauca;43186536;7200;S;S;S;S;S;S
1;6255807;P-3697;Producto -3697;ALIMENTO PARA GATOS SECO;MASCOTAS Y ANIMALES;PR-064;20220927;2022;09;27;MARTES;ESP FERRETERIA;ESP FERRETERIA;CUCUTA;Norte de Santander;-5477;-1;S;S;S;S;S;S
1;6255807;P-3717;Producto -3717;ALIMENTO PARA GATOS SECO;MASCOTAS Y ANIMALES;PR-064;20220922;2022;09;22;JUEVES;ESP FERRETERIA;ESP FERRETERIA;CUCUTA;Norte de Santander;76679456;700;S;S;S;S;S;S
1;6255807;P-3697;Producto -3697;ALIMENTO PARA GATOS SECO;MASCOTAS Y ANIMALES;PR-064;20220909;2022;09;09;VIERNES;ESP FERRETERIA;ESP FERRETERIA;CUCUTA;Norte de Santander;-1240743;-2;S;S;S;S;S;S
1;6255807;P-3717;Producto -3717;ALIMENTO PARA GATOS SECO;MASCOTAS Y ANIMALES;PR-064;20220909;2022;09;09;VIERNES;ESP FERRETERIA;ESP FERRETERIA;CUCUTA;Norte de Santander;-3834;-1;S;S;S;S;S;S
1;6255807;P-3717;Producto -3717;ALIMENTO PARA GATOS SECO;MASCOTAS Y ANIMALES;PR-064;20220901;2022;09;01;JUEVES;ESP FERRETERIA;ESP FERRETERIA;CUCUTA;Norte de Santander;7667946;70;S;S;S;S;S;S
1;6255807;P-3697;Producto -3697;ALIMENTO PARA GATOS SECO;MASCOTAS Y ANIMALES;PR-064;20220901;2022;09;01;JUEVES;ESP FERRETERIA;ESP FERRETERIA;CUCUTA;Norte de Santander;36148886;330;S;S;S;S;S;S
